ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.339Z,108.2,38.4,0.14,-41.2,0.34,0.01
2026-02-05T06:00:00.339Z,113.0,148.5,0.00,-41.2,0.00,0.01
2026-02-05T06:00:00.340Z,107.4,263.6,0.06,-41.2,0.15,0.01
2026-02-05T06:00:00.340Z,137.5,192.0,0.06,-41.2,0.15,0.01
2026-02-05T06:00:00.340Z,185.4,284.6,0.06,-41.2,0.15,0.01
2026-02-05T06:00:00.340Z,208.2,152.4,0.00,-41.2,0.00,0.01
2026-02-05T06:00:00.340Z,224.6,230.5,0.00,-47.5,0.00,0.00
2026-02-05T06:00:00.341Z,229.1,286.1,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.341Z,191.8,5.2,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.341Z,185.9,255.5,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.341Z,217.5,310.0,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.341Z,173.2,9.2,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.342Z,119.3,16.5,0.19,-39.3,0.46,0.01
2026-02-05T06:00:00.342Z,146.4,140.7,0.00,-39.3,0.00,0.01
2026-02-05T06:00:00.342Z,137.7,211.9,0.00,-39.3,0.00,0.01
2026-02-05T06:00:00.342Z,120.8,225.8,0.04,-47.8,0.09,0.00
2026-02-05T06:00:00.342Z,140.7,108.5,0.09,-52.5,0.22,0.00
2026-02-05T06:00:00.343Z,181.3,219.4,0.11,-52.6,0.28,0.00
2026-02-05T06:00:00.343Z,181.2,140.2,0.09,-52.6,0.22,0.00
2026-02-05T06:00:00.343Z,184.0,226.0,0.11,-52.6,0.28,0.00
2026-02-05T06:00:00.343Z,202.2,316.8,0.11,-52.6,0.28,0.00
2026-02-05T06:00:00.343Z,188.2,38.8,0.09,-52.6,0.22,0.00
2026-02-05T06:00:00.344Z,201.8,287.1,0.11,-52.5,0.28,0.00
2026-02-05T06:00:00.344Z,244.2,352.1,0.11,-52.5,0.28,0.00
2026-02-05T06:00:00.344Z,211.4,62.2,0.09,-52.5,0.22,0.00
2026-02-05T06:00:00.344Z,172.5,122.5,0.09,-52.5,0.22,0.00
2026-02-05T06:00:00.344Z,219.1,271.7,0.18,-40.9,0.45,0.01
2026-02-05T06:00:00.344Z,172.2,52.4,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.345Z,121.8,100.4,0.00,-38.0,0.00,0.01
2026-02-05T06:00:00.345Z,137.1,138.5,0.00,-38.0,0.00,0.01
2026-02-05T06:00:00.345Z,126.6,70.1,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.345Z,108.0,178.7,0.00,-38.0,0.00,0.01
2026-02-05T06:00:00.345Z,156.2,293.5,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.346Z,144.1,39.6,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.346Z,178.2,309.1,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.346Z,171.3,35.9,0.22,-38.0,0.53,0.01
2026-02-05T06:00:00.346Z,161.4,128.9,0.00,-38.0,0.00,0.01
2026-02-05T06:00:00.346Z,145.3,212.9,0.00,-38.0,0.00,0.01
2026-02-05T06:00:00.347Z,172.7,176.9,0.08,-52.5,0.19,0.00
2026-02-05T06:00:00.347Z,114.3,16.9,0.09,-62.7,0.23,0.00
2026-02-05T06:00:00.347Z,124.5,86.8,0.00,-62.5,0.00,0.00
2026-02-05T06:00:00.347Z,128.1,147.0,0.06,-62.4,0.16,0.00
2026-02-05T06:00:00.347Z,106.5,104.9,0.00,-62.7,0.00,0.00
2026-02-05T06:00:00.348Z,99.8,143.4,0.06,-62.3,0.16,0.00
